molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL102301,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC,14900.0,inactive,467.55100000000033,2.9837000000000016,1.0,8.0,4.826813731587726
CHEMBL102346,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,230.0,active,485.54400000000027,4.7934000000000045,1.0,7.0,6.638272163982407
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,30000.0,inactive,527.6690000000006,5.986420000000005,2.0,6.0,4.522878745280337
CHEMBL104067,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C(C)C)cc4)CC3)c2cc1OC,50.0,active,435.52800000000025,4.124500000000004,1.0,6.0,7.301029995663981
CHEMBL106966,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OC,19700.0,inactive,418.4570000000002,2.8727800000000014,1.0,7.0,4.705533773838407
CHEMBL107599,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1C,200.0,active,576.7420000000002,5.423000000000005,1.0,8.0,6.698970004336019
CHEMBL1077291,O=C1Nc2ccc(F)cc2/C1=C1/Nc2ccccc2/C1=N\O,15.0,active,295.273,2.7929000000000004,3.0,4.0,7.823908740944319
CHEMBL1083839,O=C1Nc2ccc(OC(F)(F)F)cc2/C1=C1/Nc2ccccc2/C1=N\O,10000.0,inactive,361.279,3.5524000000000022,3.0,5.0,5.0
CHEMBL1084450,O=C(Nc1cccc(-n2ccc3c(NC(=O)c4ccccc4)nccc32)c1)c1ccc(N2CCOCC2)c(C(F)(F)F)c1,96.0,active,585.5860000000005,6.385500000000004,2.0,6.0,7.017728766960432
CHEMBL1085921,CC(=O)N1/C(=C2\C(=O)Nc3ccccc32)C(=O)c2ccccc21,10000.0,inactive,304.305,2.5992000000000006,1.0,3.0,5.0
CHEMBL1086983,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C1/Nc2ccc(Br)cc2/C1=N/O,10000.0,inactive,401.17600000000004,3.3245000000000013,3.0,6.0,5.0
CHEMBL1093099,Nc1nc(N)c2c(n1)[nH]c1cccc(Sc3ccccc3)c12,41200.0,inactive,307.38200000000006,3.426700000000001,3.0,5.0,4.3851027839668655
CHEMBL1093100,Cc1ccc(Sc2cccc3[nH]c4nc(N)nc(N)c4c23)cc1,39600.0,inactive,321.4090000000001,3.73512,3.0,5.0,4.402304814074488
CHEMBL1095374,Cc1cc(C)c2c(c1)/C(=C1/Nc3ccccc3/C1=N\O)C(=O)N2,952.0,active,305.33700000000005,3.270640000000001,3.0,4.0,6.021363051615526
CHEMBL1095686,Cc1cc(Cl)cc2c1NC(=O)/C2=C1\Nc2ccccc2\C1=N/O,10000.0,inactive,325.75500000000005,3.6156200000000007,3.0,4.0,5.0
CHEMBL1095687,O=C1Nc2ccc(S(=O)(=O)[O-])cc2/C1=C1/Nc2ccccc2/C1=N\O.[Na+],9.0,active,379.32900000000006,-1.4380999999999993,3.0,7.0,8.045757490560675
CHEMBL1095873,O=C(Nc1ccc(F)cc1F)c1cccnc1Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,120.0,active,475.4300000000002,6.163400000000003,3.0,5.0,6.920818753952375
CHEMBL1097359,Cc1ccc2c(c1)/C(=C1/Nc3ccccc3/C1=N\O)C(=O)N2,28.0,active,291.31000000000006,2.9622200000000003,3.0,4.0,7.552841968657781
CHEMBL111433,Cc1ccc2[nH]c(O)c(C3=Nc4ccccc4C3=O)c2c1,209.0,active,276.295,3.4990200000000007,2.0,3.0,6.679853713888946
CHEMBL117,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,10000.0,inactive,254.24099999999999,2.8712000000000013,2.0,4.0,5.0
