activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,866063,[],CHEMBL766072,Inhibition of chimeric PDGF receptor with FLT-3 cytoplasmic domain phosphorylation in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCC(C)CC1,,,CHEMBL1135998,J Med Chem,2002,"{'bei': '11.95', 'le': '0.22', 'lle': '1.61', 'sei': '7.47'}",CHEMBL330863,,CHEMBL330863,6.89,0,http://www.openphacts.org/units/Nanomolar,237034,=,1,1,=,,IC50,nM,,128.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM,UO_0000065,,0.128
,872532,[],CHEMBL766072,Inhibition of chimeric PDGF receptor with FLT-3 cytoplasmic domain phosphorylation in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,,,CHEMBL1135998,J Med Chem,2002,"{'bei': '11.83', 'le': '0.22', 'lle': '1.63', 'sei': '7.21'}",CHEMBL124660,TANDUTINIB,CHEMBL124660,6.66,1,http://www.openphacts.org/units/Nanomolar,237044,=,1,1,=,,IC50,nM,,220.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM,UO_0000065,,0.22
,872564,[],CHEMBL766072,Inhibition of chimeric PDGF receptor with FLT-3 cytoplasmic domain phosphorylation in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)ncnc2cc1OCCCN1CCCCC1C,,,CHEMBL1135998,J Med Chem,2002,"{'bei': '9.30', 'le': '0.17', 'lle': '0.55', 'sei': '4.73'}",CHEMBL126699,,CHEMBL126699,5.06,0,http://www.openphacts.org/units/Nanomolar,237033,=,1,1,=,,IC50,nM,,8790.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM,UO_0000065,,8.79
,879718,[],CHEMBL766072,Inhibition of chimeric PDGF receptor with FLT-3 cytoplasmic domain phosphorylation in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)ncnc2cc1OCCCN1CCC(C)CC1,,,CHEMBL1135998,J Med Chem,2002,"{'bei': '10.52', 'le': '0.20', 'lle': '1.36', 'sei': '5.35'}",CHEMBL445636,,CHEMBL445636,5.72,0,http://www.openphacts.org/units/Nanomolar,237035,=,1,1,=,,IC50,nM,,1910.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM,UO_0000065,,1.91
,884645,[],CHEMBL766072,Inhibition of chimeric PDGF receptor with FLT-3 cytoplasmic domain phosphorylation in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,,,CHEMBL1135998,J Med Chem,2002,,CHEMBL941,IMATINIB,CHEMBL941,,0,http://www.openphacts.org/units/Nanomolar,237053,>,1,1,>,,IC50,nM,,30000.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM,UO_0000065,,30.0
,886058,[],CHEMBL766072,Inhibition of chimeric PDGF receptor with FLT-3 cytoplasmic domain phosphorylation in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COCCOc1cc2ncnc(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)c2cc1OC,,,CHEMBL1135998,J Med Chem,2002,"{'bei': '12.81', 'le': '0.24', 'lle': '2.55', 'sei': '6.46'}",CHEMBL124035,,CHEMBL124035,6.35,0,http://www.openphacts.org/units/Nanomolar,237061,=,1,1,=,,IC50,nM,,450.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM,UO_0000065,,0.45
,895434,[],CHEMBL766072,Inhibition of chimeric PDGF receptor with FLT-3 cytoplasmic domain phosphorylation in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCOCC1,,,CHEMBL1135998,J Med Chem,2002,"{'bei': '13.10', 'le': '0.25', 'lle': '3.52', 'sei': '7.29'}",CHEMBL125898,,CHEMBL125898,7.40,0,http://www.openphacts.org/units/Nanomolar,237043,=,1,1,=,,IC50,nM,,40.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM,UO_0000065,,0.04
,895457,[],CHEMBL679499,Inhibition of Flt3/ITD mutant expressed in hematopoietic cells or AML cell lines; range = 30-100 nM,F,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCOCC1,,,CHEMBL1135998,J Med Chem,2002,,CHEMBL125898,,CHEMBL125898,7.00,0,http://www.openphacts.org/units/Nanomolar,237043,=,1,1,=,,IC50,nM,,100.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,nM,UO_0000065,,100.0
,896682,[],CHEMBL766072,Inhibition of chimeric PDGF receptor with FLT-3 cytoplasmic domain phosphorylation in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1C,,,CHEMBL1135998,J Med Chem,2002,"{'bei': '11.62', 'le': '0.22', 'lle': '1.28', 'sei': '7.26'}",CHEMBL107599,,CHEMBL107599,6.70,0,http://www.openphacts.org/units/Nanomolar,237032,=,1,1,=,,IC50,nM,,200.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM,UO_0000065,,0.2
,897823,[],CHEMBL766072,Inhibition of chimeric PDGF receptor with FLT-3 cytoplasmic domain phosphorylation in CHO cells,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCN1CCCCC1,,,CHEMBL1135998,J Med Chem,2002,"{'bei': '13.04', 'le': '0.24', 'lle': '2.51', 'sei': '7.75'}",CHEMBL444064,,CHEMBL444064,7.16,0,http://www.openphacts.org/units/Nanomolar,237074,=,1,1,=,,IC50,nM,,70.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM,UO_0000065,,0.07
,1038866,[],CHEMBL814633,Inhibition of Tyrosine-protein kinase receptor FLT3 (fms-related tyrosine kinase 3) receptor,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,,,CHEMBL1145920,J Med Chem,2003,"{'bei': '19.97', 'le': '0.36', 'lle': '3.88', 'sei': '13.85'}",CHEMBL150894,CEP-5214,CHEMBL150894,8.80,0,http://www.openphacts.org/units/Nanomolar,294381,=,1,1,=,,IC50,nM,,1.6,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,nM,UO_0000065,,1.6
,1106352,[],CHEMBL679498,Inhibition of Flt3 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc([N+](=O)[O-])cc4)CC3)c2cc1OC,,,CHEMBL1135502,J Med Chem,2002,"{'bei': '12.50', 'le': '0.23', 'lle': '2.57', 'sei': '4.46'}",CHEMBL99743,,CHEMBL99743,5.48,0,http://www.openphacts.org/units/Nanomolar,194150,=,1,1,=,,IC50,nM,,3300.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM l-1,UO_0000065,,3.3
,1108583,[],CHEMBL679498,Inhibition of Flt3 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C(C)C)cc4)CC3)c2cc1OC,,,CHEMBL1135502,J Med Chem,2002,"{'bei': '16.76', 'le': '0.31', 'lle': '3.18', 'sei': '9.15'}",CHEMBL104067,,CHEMBL104067,7.30,0,http://www.openphacts.org/units/Nanomolar,194184,=,1,1,=,,IC50,nM,,50.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM l-1,UO_0000065,,0.05
,1112119,[],CHEMBL679498,Inhibition of Flt3 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,,,CHEMBL1135502,J Med Chem,2002,"{'bei': '13.67', 'le': '0.25', 'lle': '1.85', 'sei': '7.45'}",CHEMBL102346,,CHEMBL102346,6.64,0,http://www.openphacts.org/units/Nanomolar,194139,=,1,1,=,,IC50,nM,,230.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM l-1,UO_0000065,,0.23
,1114598,[],CHEMBL679498,Inhibition of Flt3 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Br)cc4)CC3)c2cc1OC,,,CHEMBL1135502,J Med Chem,2002,"{'bei': '10.47', 'le': '0.23', 'lle': '1.18', 'sei': '6.19'}",CHEMBL323336,,CHEMBL323336,4.94,0,http://www.openphacts.org/units/Nanomolar,194187,=,1,1,=,,IC50,nM,,11400.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM l-1,UO_0000065,,11.4
,1130122,[],CHEMBL679498,Inhibition of Flt3 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OC,,,CHEMBL1135502,J Med Chem,2002,"{'bei': '11.24', 'le': '0.21', 'lle': '1.84', 'sei': '4.54'}",CHEMBL106966,,CHEMBL106966,4.71,0,http://www.openphacts.org/units/Nanomolar,194134,=,1,1,=,,IC50,nM,,19700.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM l-1,UO_0000065,,19.7
,1235237,[],CHEMBL677135,Inhibition of Flt3 autophosphorylation,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2ncnc(N3CCN(C(=O)Nc4ccsc4)CC3)c2cc1OC.Cl,,,CHEMBL1136005,J Med Chem,2002,"{'bei': '12.90', 'le': '0.25', 'lle': '2.09', 'sei': '6.46'}",CHEMBL553824,,CHEMBL343521,5.15,0,http://www.openphacts.org/units/Nanomolar,270462,=,1,1,=,,IC50,nM,,7020.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM l-1,UO_0000065,,7.02
,1236599,[],CHEMBL679497,Inhibition of Flt3 autophosphorylation,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC,,,CHEMBL1136005,J Med Chem,2002,"{'bei': '10.32', 'le': '0.20', 'lle': '1.85', 'sei': '5.92'}",CHEMBL102301,,CHEMBL102301,4.83,0,http://www.openphacts.org/units/Nanomolar,270485,=,1,1,=,,IC50,nM,,14900.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM l-1,UO_0000065,,14.9
,1245760,[],CHEMBL679497,Inhibition of Flt3 autophosphorylation,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccccc4)CC3)c2cc1OC,,,CHEMBL1136005,J Med Chem,2002,,CHEMBL319894,,CHEMBL319894,,0,http://www.openphacts.org/units/Nanomolar,270487,>,1,1,>,,IC50,nM,,30000.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,uM l-1,UO_0000065,,30.0
,1609149,[],CHEMBL882598,Inhibitory concentration against FLT3 with 4 uM Biotin-Ahx-AEEEYFFLFA-amide for 1 hr at ambient temperature,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1,,,CHEMBL1141091,J Med Chem,2005,"{'bei': '23.17', 'le': '0.44', 'lle': '3.81', 'sei': '9.36'}",CHEMBL196363,,CHEMBL196363,8.70,0,http://www.openphacts.org/units/Nanomolar,402752,=,1,1,=,,IC50,nM,,2.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,nM,UO_0000065,,2.0
,1609236,[],CHEMBL871628,Inhibitory concentration against FLT3 with 4 uM Biotin-Ahx-AEEEYFFLFA-amide for 1 hr at ambient temperature with 1 mM ATP and 3.2-50 uM compound in 5%DMSO at pH 7.5,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1sc2ncnc(N)c2c1-c1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2F)cc1,,,CHEMBL1141091,J Med Chem,2005,"{'bei': '16.40', 'le': '0.32', 'lle': '1.52', 'sei': '8.14'}",CHEMBL381207,,CHEMBL381207,7.57,0,http://www.openphacts.org/units/Nanomolar,402774,=,1,1,=,,IC50,nM,,27.0,CHEMBL1974,Homo sapiens,Tyrosine-protein kinase receptor FLT3,9606,,,IC50,nM,UO_0000065,,27.0
